gene_family,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,route,frozen_dl_n_studies,frozen_dl_n_rows,pooled_mean_dl_frozen,pooled_ci_low_dl_frozen,pooled_ci_high_dl_frozen,i2_percent_frozen,q_frozen,tau2_dl_frozen,variance_imputation,imputed_sampling_variance,frozen_dl_synthesis_mode,dl_method,effect_input,variance_source,frozen_dl_study_n_match,frozen_dl_row_n_match,i2_pooled_source
tet,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,11,18,2.0,1.925,2.9975,0.2,4.47,1.85,3.0,log10 reduction,median_iqr_bootstrap_ci,influent_to_final_effluent,11,18,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,228.0142966925405,0.979487675527436,within-study median from frozen rows,0.05473055555555555,frozen_dl_ge10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
sul,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,10,16,2.1,1.32,3.0,0.2,4.79,1.16275,3.535,log10 reduction,median_iqr_bootstrap_ci,influent_to_final_effluent,10,16,2.2612602569346416,1.3760187394468297,3.1465017744224535,99.08964981297372,988.630543307638,2.017849217886036,within-study median from frozen rows,0.019460250000000005,frozen_dl_ge10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
bla,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,13,22,2.44,2.0,3.2,0.17,4.54,2.0,3.2,log10 reduction,median_iqr_bootstrap_ci,influent_to_final_effluent,13,22,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448065,568.6093613976878,1.698562042740075,within-study median from frozen rows,0.03683888888888888,frozen_dl_ge10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
intI1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,7,8,1.4,1.295,1.65,0.2,2.9,1.23,1.8,log10 reduction,list_or_descriptive_lt_min_studies,influent_to_final_effluent,7,8,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
erm,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,8,11,2.475,1.495,3.21625,1.12,3.805,1.36,3.64,log10 reduction,list_or_descriptive_lt_min_studies,influent_to_final_effluent,8,11,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
qnr,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,2,2,1.825,1.4125,2.2375,1.0,2.65,1.0,2.65,log10 reduction,list_or_descriptive_lt_min_studies,influent_to_final_effluent,2,2,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
