technology_supergroup_4group,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,i2_source_n_studies,i2_source_n_rows,pooled_mean_dl_from_20260626,pooled_ci_low_dl_from_20260626,pooled_ci_high_dl_from_20260626,i2_percent_from_20260626_analysis_clean,i2_source_synthesis_mode,i2_absolute_reduction_vs_total_from_20260626,i2_reduction_interpretation_from_20260626,i2_source_note
biological,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,16,37,1.725,0.895,2.3012499999999996,0.17,3.8049999999999997,0.94,2.3,log10 reduction,median_iqr_bootstrap_ci,16,36,1.5995338378028174,1.1846353002728487,2.014432375332786,86.72625255850595,random_effects_pooled_diagnostic,12.533266487098246,moderate_i2_reduction,I2 diagnostic from 20260626 treatment-detail analysis-clean synthesis; frozen n columns are recomputed here.
disinfection,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,17,94,2.0,1.5299999999999998,2.7,0.2,4.0,1.5299999999999998,2.7,log10 reduction,median_iqr_bootstrap_ci,17,94,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,random_effects_pooled_diagnostic,0.2270211114273479,small_i2_reduction,I2 diagnostic from 20260626 treatment-detail analysis-clean synthesis; frozen n columns are recomputed here.
membrane,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,6,18,2.645,1.3975,3.1350000000000002,0.3,4.0,0.7000000000000001,3.59,log10 reduction,list_or_descriptive_lt_min_studies,6,18,2.2965318477270147,1.089279698939598,3.5037839965144317,96.0667339861214,descriptive_with_i2_diagnostic,3.1927850594828016,small_i2_reduction,I2 diagnostic from 20260626 treatment-detail analysis-clean synthesis; frozen n columns are recomputed here.
physicochemical,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,4,21,3.0,2.14,3.6425,1.06,4.07,1.06,4.07,log10 reduction,list_or_descriptive_lt_min_studies,4,21,,,,,list_only_lt5_studies,,not_estimable_lt5_studies,I2 not estimated for this treatment cell.
