technology_supergroup_4group,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,frozen_dl_n_studies,frozen_dl_n_rows,pooled_mean_dl_frozen,pooled_ci_low_dl_frozen,pooled_ci_high_dl_frozen,i2_percent_frozen,q_frozen,tau2_dl_frozen,variance_imputation,imputed_sampling_variance,frozen_dl_synthesis_mode,dl_method,effect_input,variance_source,frozen_dl_study_n_match,frozen_dl_row_n_match,i2_pooled_source
biological,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,16,37,1.725,0.895,2.30125,0.17,3.805,0.94,2.3,log10 reduction,median_iqr_bootstrap_ci,16,37,1.5707168667318057,1.1250432850601344,2.016390448403477,85.45309414254795,103.11471145127295,0.6407565924307898,within-study median from frozen rows,0.19583333333333333,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
disinfection,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,17,94,2.0,1.5299999999999998,2.7,0.2,4.0,1.5299999999999998,2.7,log10 reduction,median_iqr_bootstrap_ci,17,94,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,1653.7432389239568,2.3108390102633183,within-study median from frozen rows,0.050292847222222214,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
membrane,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,6,18,2.645,1.3975,3.135,0.3,4.0,0.7000000000000001,3.59,log10 reduction,list_or_descriptive_lt_min_studies,6,18,2.2965318477270142,1.0892796989395976,3.503783996514431,96.06673398612139,127.12081975532294,2.078272005646139,within-study median from frozen rows,0.0804641975308642,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
physicochemical,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,170,40,4,21,3.0,2.14,3.6425,1.06,4.07,1.06,4.07,log10 reduction,list_or_descriptive_lt_min_studies,4,21,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
