gene_family,route,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,pooled_mean_dl_from_20260626,pooled_ci_low_dl_from_20260626,pooled_ci_high_dl_from_20260626,i2_percent_from_20260626_analysis_clean,i2_source_synthesis_mode,i2_source_n_studies,i2_source_n_rows,i2_source_note
intI1,sewage_sludge_to_anaerobic_sludge,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,log10 reduction,list_or_descriptive_lt_min_studies,,,,,,,,I2 not estimated for this frozen cell.
erm,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,8,11,2.4749999999999996,1.495,3.21625,1.12,3.8049999999999997,1.36,3.64,log10 reduction,list_or_descriptive_lt_min_studies,,,,,descriptive_only,8.0,10.0,I2 not estimated for this frozen cell.
erm,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,4.37,4.37,4.37,4.37,4.37,4.37,4.37,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,1.0,1.0,I2 not estimated for this frozen cell.
erm,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,3,3,1.22,0.85,1.96,0.48,2.7,0.48,2.7,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,3.0,3.0,I2 not estimated for this frozen cell.
erm,primary_effluent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,3,2.13,2.13,2.13,2.13,2.13,2.13,2.13,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,1.0,3.0,I2 not estimated for this frozen cell.
qnr,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,2,2,1.825,1.4125,2.2375,1.0,2.65,1.0,2.65,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,2.0,2.0,I2 not estimated for this frozen cell.
qnr,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,1.0,1.0,I2 not estimated for this frozen cell.
other,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,4,4,2.66,2.2399999999999998,3.255,2.0,4.02,2.0,4.02,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,4.0,4.0,I2 not estimated for this frozen cell.
other,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,1.0,1.0,I2 not estimated for this frozen cell.
other,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,2,3,1.9725000000000001,1.48625,2.45875,1.0,2.9450000000000003,1.0,2.9450000000000003,log10 reduction,list_or_descriptive_lt_min_studies,,,,,list_only,2.0,3.0,I2 not estimated for this frozen cell.
