gene_family,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,route,pooled_mean_dl_from_20260626,pooled_ci_low_dl_from_20260626,pooled_ci_high_dl_from_20260626,i2_percent_from_20260626_analysis_clean,i2_source_synthesis_mode,i2_source_n_studies,i2_source_n_rows,i2_source_note
tet,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,11,18,2.0,1.925,2.9975,0.2,4.47,1.85,3.0,log10 reduction,median_iqr_bootstrap_ci,influent_to_final_effluent,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,pooled_random_effects,11,18,I2/pooled diagnostic from 20260626 analysis-clean synthesis; frozen n columns are recomputed here.
sul,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,10,16,2.1,1.32,3.0,0.2,4.79,1.16275,3.535,log10 reduction,median_iqr_bootstrap_ci,influent_to_final_effluent,2.2612602569346416,1.3760187394468295,3.146501774422453,99.08964981297372,pooled_random_effects,10,16,I2/pooled diagnostic from 20260626 analysis-clean synthesis; frozen n columns are recomputed here.
bla,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,13,22,2.44,2.0,3.2,0.17,4.54,2.0,3.2,log10 reduction,median_iqr_bootstrap_ci,influent_to_final_effluent,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448064,pooled_random_effects,13,22,I2/pooled diagnostic from 20260626 analysis-clean synthesis; frozen n columns are recomputed here.
intI1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,7,8,1.4,1.295,1.65,0.2,2.9,1.23,1.8,log10 reduction,list_or_descriptive_lt_min_studies,influent_to_final_effluent,,,,,descriptive_only,7,8,I2 not estimated for this frozen cell.
erm,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,8,11,2.4749999999999996,1.495,3.21625,1.12,3.8049999999999997,1.36,3.64,log10 reduction,list_or_descriptive_lt_min_studies,influent_to_final_effluent,,,,,descriptive_only,8,10,I2 not estimated for this frozen cell.
qnr,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,77,24,2,2,1.825,1.4125,2.2375,1.0,2.65,1.0,2.65,log10 reduction,list_or_descriptive_lt_min_studies,influent_to_final_effluent,,,,,list_only,2,2,I2 not estimated for this frozen cell.
